text,true_label,pred_label,correct
Cop Talk Featuring Bay City Police Detective Chris Scheduled,0,0,1
Tucker Carlson Out at Fox News,0,0,1
We miss you on CNN!!,0,0,1
Lol. You had illegal voting procedures in all the swing states and you didnt say a word. Sit down and shut up,1,1,1
woke birthright citizenship toke birthright imperialism,1,1,1
Whats your solution to this? Trump wasnt anti immigration enough and kamala would have been?,0,0,1
"IAF intercepts missile fired from Yemen, IDF commander injured in West Bank vehicle explosion",0,0,1
"When the russian aggression against Ukraine started had I been 2030 years younger I would have volunteered to fight for one of my ancestral homelands and not just because of that, but because Ukraine has been a buffer for nato against russian aggression for decades",0,0,1
"forget impeachment, lets instead prove treason",1,1,1
Why did the Justice system didnt function? Why after four years of inciting an insurrection he wasnt sentenced?,0,1,0
"im sorry kamala i didnt call chairman xi fast enough to send 500,000 votes to critical swing states",1,0,0
Wheres the results?!? Rigged Election! ucpldr,1,1,1
Will Joe Biden be impeached? Democrats issue warning,0,0,1
Real talk they should lose support for maintaining Iron Dome batteries until they get their repugnant conduct back in check.,0,1,0
Not Educate The Voters in these Red States!!,1,1,1
Putin? More like Putin this dick in yo mouth But seriously fuck Putin,1,1,1
Another detachment from reality by the anti immigration fucks. Everyone TOLD YOU what would happen if Britain left. Reap it...,1,1,1
The media is the enemy of the people!,1,1,1
Most likely GOP caucusgoers favor fetal,0,0,1
"BREAKING NEWS ! US FINANCIAL SECTOR UNDERGOING DESHYLOCKATION, IN RESPONSE TO RUSSIAN DENAZIFICATION.",1,0,0
Well CNN enabled a trump victory so here we are ..,1,1,1
CBS News has intel that Russian commanders have orders to proceed with Ukraine invasion,0,0,1
Kamala Harris time to convince doubters has,0,0,1
Trumps withholding military aid weakened Ukraine and helped Putin,0,1,0
Is it really the radical left or just the left?,0,0,1
rumours of Asylum seeker boat stopped off Christmas Island as Morrison trumpets border security on election day,0,0,1
"A few ceasefire violations, but broadly it appears to be holding.",0,0,1
"But just remember, Joe Biden is old.",0,0,1
"And still countless victims of the apartheid state, with the idf murdering children and adults every minute passing. freepalestine freeluigi",1,1,1
"Thats actually a common misconception about New England seafood. Mussels get sautéed, lobsters and clams get steamed. Its also where Americans started deep frying everything in batter but that just gets absorbed into a wider sort of national identity by the end of the 20th century.",0,0,1
Joe Bidens audacious gamble on Bidenomics,0,0,1
Madison Police Department Investigates Reported Incident,0,0,1
"UNHCR Armenia Hotline Factsheet, November 2024 Refugees",0,0,1
I texted my mom last night while having a break down and I woke up to her responding with a voter registration link ok,0,0,1
IDF attacks surgically on terrorists from hamas.,0,0,1
Donald Trump holds overwhelming leadThe Des Moines,0,0,1
Imperialism trying to make a comeback.,0,0,1
"IsraeliPalestinian conflict brings fear, stress and",0,0,1
"Deported. Forcefully abducted. Displaced as part of ethnic cleansing. ""Evacuated"" is the aggressors narrative. UkraineUnderAttack",1,1,1
"Even after second butt kicking, GOP leaders rather inflict",1,0,0
15 candidates file for spot on GOP primary ballot in MarchThe Lufkin Daily,0,0,1
"Yes, instead of changing course and embracing actual progressive policies, please follow a no longer relevant playbook.",1,1,1
Can anyone really justify the images coming out of Bucha? Can anyone really claim that this is a war of liberation? Defence? DeNazification?,1,0,0
"A TV News Reporter on IsraelHamas Fog of War, Truth",0,0,1
speaking FACTS. Elites only care about border security when its at their doorstep.,1,1,1
"Canada announces billion border security plan, after Donald Trump tariff threat",0,0,1
Former Michigan GOP spokesperson testifies fake elector,0,0,1
Just stop. Billions on aid and military aid have been shipped. And sanctions work.,0,0,1
Bidenomics making the world poorer since 1974,1,1,1
Couldnt electoral colleges upend the results and vote Kamala Harris in?,0,1,0
"TRUMP LIE 11814 ""Ive saved their second amendment. You wouldnt have a second amendment right now if it wasnt for TFG Trump",1,1,1
Not only propaganda apparatus. Intelligence apparatus too,0,0,1
Hi why did the house remove same day voter registration from the VOTES act? mapoli,0,0,1
Another Trump campaign lie. Herschel was supposed to build the iron dome.,1,1,1
This leaves Gaza ceasefire and Steel.,0,0,1
Im an IsraeliAmerican who attended Brandeis,0,0,1
Whenever USA is close to approving the next instalment of Military Aid to Ukraine Russians suddenly find out that they are in War and they had to attack Ukrainian cities This is so organic that it looks natural US defence Industry is indebted to Russia,1,0,0
I agree!!! Why didnt anyone demand a recount to start!!!,0,0,1
"I should probably start migrating here cause, capitalism.",0,1,0
What the heck. These early voting options are very no bueno.,0,0,1
Claim that Rep. Van Orden was at Jan. 6 insurrection,0,0,1
"funny how Putin launches attack as ""denazification"" Ukriane just because Zelensky is jewish??",0,1,0
"For the Scottish dimension see Gordon Pentlands excellent, Radicalism, Reform and National Identity in Scotland, 18201833",0,0,1
Senior Hamas Political Leaders Nizar Awadallah,0,0,1
But you support Ukrainian Nazis who fight against Russia?,1,1,1
Milwaukee Palestinians denounce deadly Israeli airstrikes,0,0,1
IsraeliAmerican soldier killed in Gaza buried at Mount,0,0,1
coming from someone we love. impeachment,0,0,1
"Now they choose Glenn, an extreme right winger masquerading as a libertarian something or other.",1,1,1
Cant we arrest Greg Abbot for facilitating illegal immigration? BetoForGovernor AbbottFailedTexasAgain,1,1,1
lol coming from a paid new outlet by the dumpster fire democrats fake news.,1,1,1
"As my former brexit reform musk anti immigration Friend said about the labour government program for change said who believes that shit , were doomed",0,1,0
Where truth ends and fake news begins on Clevelands,0,0,1
I request that you commit election interference,1,1,1
"Thanks, Snowflake! Youre the best!",0,0,1
